nflweek,gameDate,otyn,roadTeam,rtTotalScore,rtScore1Q,rtScore2Q,rtScore3Q,rtScore4Q,rtScoreOT,rtFirstDowns,rt3DConv,rt3DAtt,rt4DConv,rt4DAtt,rtTYds,rtRushYds,rtPassYds,rtTO,rtSacks,rtPen,rtPenYds,homeTeam,htTotalScore,htScore1Q,htScore2Q,htScore3Q,htScore4Q,htScoreOT,htFirstDowns,ht3DConv,ht3DAtt,ht4DConv,ht4DAtt,htTYds,htRushYds,htPassYds,htTO,htSacks,htPen,htPenYds
7,2017-10-22,N,SEA,24,0,3,7,14,0,26,6,13,0,1,425,104,321,1,1,15,110,NYG,7,0,7,0,0,0,14,2,12,0,1,177,46,131,1,1,7,28
7,2017-10-22,N,CIN,14,7,7,0,0,0,11,3,11,1,2,179,71,108,2,4,5,54,PIT,29,7,13,6,3,0,21,2,11,1,3,420,152,268,0,0,1,5
7,2017-10-22,N,DEN,0,0,0,0,0,0,12,3,14,0,2,251,69,182,3,5,10,68,LAC,21,7,7,0,7,0,14,3,12,0,1,242,80,162,0,3,9,81
7,2017-10-22,N,ATL,7,0,0,0,7,0,21,2,9,1,3,343,120,223,0,1,6,40,NE,23,0,17,3,3,0,25,7,13,0,0,403,162,241,0,2,8,65
7,2017-10-23,N,WAS,24,3,7,7,7,0,19,4,12,0,1,344,75,269,1,4,5,55,PHI,34,0,17,7,10,0,23,6,12,0,0,371,127,244,1,3,9,55
8,2017-10-26,N,MIA,0,0,0,0,0,0,13,4,15,0,2,196,45,151,2,3,7,43,BAL,40,7,13,0,20,0,19,3,13,0,0,295,174,121,0,0,5,40
8,2017-10-29,N,MIN,33,3,9,11,10,0,26,6,16,0,0,375,88,287,1,1,5,58,CLE,16,6,7,3,0,0,16,4,13,0,1,276,115,161,2,3,5,74
8,2017-10-29,N,OAK,14,7,0,0,7,0,23,3,10,1,2,367,54,313,4,0,6,50,BUF,34,0,14,6,14,0,17,6,15,1,1,331,166,165,0,0,11,95
8,2017-10-29,N,IND,23,0,13,7,3,0,19,8,16,0,1,331,115,216,1,4,7,45,CIN,24,3,7,7,7,0,17,4,11,0,0,276,58,218,2,3,5,54
8,2017-10-29,N,LAC,13,7,0,0,6,0,16,3,10,1,1,349,157,192,1,1,10,77,NE,21,0,15,3,3,0,27,9,19,1,1,414,97,317,0,3,6,80
