season,week,gameDate,roadTeam,rTotalScore,rScore1Q,rScore2Q,rScore3Q,rScore4Q,rScoreOT,homeTeam,hTotalScore,hScore1Q,hScore2Q,hScore3Q,hScore4Q,hScoreOT
2017,11,2017-11-19,N,ARI,21,0,14,7,0,0,HOU,31,0,10,7,14,0
2017,11,2017-11-19,N,BUF,24,7,0,3,14,0,LAC,54,10,27,10,7,0
2017,11,2017-11-19,N,CIN,20,6,7,0,7,0,DEN,17,7,0,3,7,0
2017,11,2017-11-19,N,NE,33,7,10,13,3,0,OAK,8,0,0,0,8,0
2017,11,2017-11-19,N,PHI,37,7,0,16,14,0,DAL,9,6,3,0,0,0
2017,11,2017-11-20,N,ATL,34,14,10,7,3,0,SEA,31,7,10,6,8,0
2017,12,2017-11-23,N,MIN,30,13,7,7,3,0,DET,23,0,10,6,7,0
2017,12,2017-11-23,N,LAC,28,0,3,13,12,0,DAL,6,0,0,0,6,0
2017,12,2017-11-23,N,NYG,10,0,3,7,0,0,WAS,20,0,3,7,10,0
2017,12,2017-11-26,N,TB,20,3,3,7,7,0,ATL,34,3,17,7,7,0
2017,12,2017-11-26,N,CLE,16,3,3,3,7,0,CIN,30,7,9,7,7,0
2017,12,2017-11-26,N,TEN,20,6,0,7,7,0,IND,16,0,13,3,0,0
2017,12,2017-11-26,N,BUF,16,7,6,3,0,0,KC,10,0,3,7,0,0
2017,12,2017-11-26,N,MIA,17,0,10,0,7,0,NE,35,14,7,7,7,0
2017,12,2017-11-26,N,CAR,35,3,9,6,17,0,NYJ,27,3,7,7,10,0
2017,12,2017-11-26,N,CHI,3,0,0,3,0,0,PHI,31,7,17,0,7,0
2017,12,2017-11-26,N,SEA,24,0,7,7,10,0,SF,13,0,3,3,7,0
2017,12,2017-11-26,N,DEN,14,0,0,0,14,0,OAK,21,0,14,7,0,0
2017,12,2017-11-26,N,NO,20,7,3,0,10,0,LAR,26,10,7,3,6,0
2017,12,2017-11-26,N,JAX,24,0,3,7,14,0,ARI,27,3,10,3,11,0
2017,12,2017-11-26,N,GB,28,14,0,7,7,0,PIT,31,6,8,7,10,0
2017,12,2017-11-27,N,HOU,16,7,3,3,3,0,BAL,23,0,17,0,6,0
2017,13,2017-11-30,N,WAS,14,0,7,0,7,0,DAL,38,0,17,0,21,0
2017,13,2017-12-03,N,MIN,14,0,7,0,7,0,ATL,9,3,3,3,0,0
2017,13,2017-12-03,N,NE,23,3,6,14,0,0,BUF,3,0,3,0,0,0
2017,13,2017-12-03,N,SF,15,3,6,3,3,0,CHI,14,7,7,0,0,0
2017,13,2017-12-03,Y,TB,20,7,3,0,10,0,GB,26,3,14,0,3,6
2017,13,2017-12-03,N,HOU,13,3,7,0,3,0,TEN,24,0,10,7,7,0
2017,13,2017-12-03,N,DEN,9,0,3,6,0,0,MIA,35,2,14,10,9,0
2017,13,2017-12-03,N,KC,31,14,3,7,7,0,NYJ,38,14,7,6,11,0
2017,13,2017-12-03,N,IND,10,0,3,7,0,0,JAX,30,7,9,11,3,0
2017,13,2017-12-03,N,DET,20,0,0,13,7,0,BAL,44,3,17,0,24,0
2017,13,2017-12-03,N,CLE,10,0,7,0,3,0,LAC,19,0,9,10,0,0
2017,13,2017-12-03,N,NYG,17,7,0,0,10,0,OAK,24,7,3,0,14,0
2017,13,2017-12-03,N,CAR,21,7,7,0,7,0,NO,31,7,14,7,3,0
2017,13,2017-12-03,N,LAR,32,16,3,7,6,0,ARI,16,0,13,0,3,0
2017,13,2017-12-03,N,PHI,10,0,3,0,7,0,SEA,24,10,0,7,7,0
2017,13,2017-12-04,N,PIT,23,0,3,7,13,0,CIN,20,10,7,3,0,0
2017,14,2017-12-07,N,NO,17,3,7,7,0,0,ATL,20,3,7,0,10,0
2017,14,2017-12-10,Y,IND,7,0,0,0,7,0,BUF,13,0,7,0,0,6
2017,14,2017-12-10,N,CHI,33,6,6,7,14,0,CIN,7,7,0,0,0,0
2017,14,2017-12-10,Y,GB,27,7,0,0,14,6,CLE,21,7,7,7,0,0
2017,14,2017-12-10,N,OAK,15,0,0,0,15,0,KC,26,3,13,10,0,0
2017,14,2017-12-10,N,DAL,30,3,7,0,20,0,NYG,10,0,10,0,0,0
2017,14,2017-12-10,N,DET,24,7,7,7,3,0,TB,21,7,0,0,14,0
2017,14,2017-12-10,N,MIN,24,7,6,0,11,0,CAR,31,7,7,10,7,0
2017,14,2017-12-10,N,SF,26,0,13,10,3,0,HOU,16,3,6,7,0,0
2017,14,2017-12-10,N,NYJ,0,0,0,0,0,0,DEN,23,10,3,7,3,0
